date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Odisha,Khordha,752102,102,129
01-03-2025,Odisha,Bhadrak,756139,28,41
01-03-2025,Odisha,Jajpur,755013,72,148
01-03-2025,Odisha,Keonjhar,758017,96,160
01-03-2025,Odisha,Jajpur,754296,28,81
01-03-2025,Odisha,Koraput,764027,483,1271
01-03-2025,Odisha,Khordha,752019,52,92
01-03-2025,Odisha,Mayurbhanj,757106,91,132
01-03-2025,Odisha,Bhadrak,756117,11,38
01-03-2025,Odisha,Puri,752110,10,44
01-03-2025,Odisha,Ganjam,760003,124,166
01-03-2025,Odisha,Gajapati,761201,73,130
01-03-2025,Odisha,Sundargarh,770020,44,79
01-03-2025,Odisha,Cuttack,754031,258,995
01-03-2025,Odisha,Nayagarh,752082,122,126
01-03-2025,Odisha,Keonjhar,758026,15,38
01-03-2025,Odisha,Rayagada,765023,85,92
01-03-2025,Odisha,Balasore,756035,20,68
01-03-2025,Odisha,Kandhamal,762012,22,29
01-03-2025,Odisha,Sundargarh,770014,101,177
01-03-2025,Odisha,Ganjam,761115,94,207
01-03-2025,Odisha,Gajapati,761211,116,152
01-03-2025,Odisha,Ganjam,761019,64,130
01-03-2025,Odisha,Bhadrak,756125,25,73
01-03-2025,Odisha,Subarnapur,767023,38,183
01-03-2025,Odisha,Nabarangpur,764072,845,1199
01-03-2025,Odisha,Balasore,756021,64,100
01-03-2025,Odisha,Balasore,756030,107,185
01-03-2025,Odisha,Sundargarh,770039,77,126
01-03-2025,Odisha,Balasore,756056,14,34
01-03-2025,Odisha,Nabarangpur,764085,16,72
01-03-2025,Odisha,Koraput,764063,122,149
01-03-2025,Odisha,Khordha,754001,80,186
01-03-2025,Odisha,Cuttack,754105,35,94
01-03-2025,Odisha,Bhadrak,756144,13,31
01-03-2025,Odisha,Jharsuguda,768233,11,21
01-03-2025,Odisha,Deogarh,768109,12,16
01-03-2025,Odisha,Sundargarh,770034,94,156
01-03-2025,Odisha,Kalahandi,766012,213,424
01-03-2025,Odisha,Sambalpur,768112,168,289
01-03-2025,Odisha,Bargarh,768030,16,118
01-03-2025,Odisha,Jajpur,755020,12,8
01-03-2025,Odisha,Nayagarh,752025,68,215
01-03-2025,Odisha,Jagatsinghpur,754140,77,154
01-03-2025,Odisha,Balasore,756037,14,43
01-03-2025,Odisha,Koraput,763001,147,46
01-03-2025,Odisha,Nayagarh,752024,48,111
01-03-2025,Odisha,Jharsuguda,768226,76,231
01-03-2025,Odisha,Malkangiri,764045,621,518
01-03-2025,Odisha,Dhenkanal,759013,193,370
01-03-2025,Odisha,Puri,752017,173,339
01-03-2025,Odisha,Koraput,764002,588,1052
01-03-2025,Odisha,Ganjam,760007,47,67
01-03-2025,Odisha,Balasore,756025,71,82
01-03-2025,Odisha,Jajpur,755008,15,56
01-03-2025,Odisha,Sundargarh,769010,11,13
01-03-2025,Odisha,Ganjam,761116,50,66
01-03-2025,Odisha,Sundargarh,770041,45,82
01-03-2025,Odisha,Kendrapara,754213,192,254
01-03-2025,Odisha,Ganjam,761006,31,78
01-03-2025,Odisha,Khordha,751006,24,118
01-03-2025,Odisha,Kalahandi,766017,142,436
01-03-2025,Odisha,Khordha,752060,17,36
01-03-2025,Odisha,Ganjam,761020,158,161
01-03-2025,Odisha,Balasore,756059,129,147
01-03-2025,Odisha,Jajpur,755014,60,67
01-03-2025,Odisha,Dhenkanal,759018,14,51
01-03-2025,Odisha,Kendrapara,754218,75,119
01-03-2025,Odisha,Jajpur,754205,33,64
01-03-2025,Odisha,Keonjhar,758022,169,395
01-03-2025,Odisha,Balasore,756044,108,142
01-03-2025,Odisha,Sambalpur,768026,12,19
01-03-2025,Odisha,Keonjhar,758025,140,285
01-03-2025,Odisha,Mayurbhanj,757039,174,343
01-03-2025,Odisha,Nabarangpur,764059,489,688
01-03-2025,Odisha,Balangir,767002,38,244
01-03-2025,Odisha,Ganjam,760004,26,39
01-03-2025,Odisha,Kendrapara,754223,67,191
01-03-2025,Odisha,Subarnapur,767017,20,63
01-03-2025,Odisha,Mayurbhanj,757018,159,273
01-03-2025,Odisha,Khordha,752020,13,11
01-03-2025,Odisha,Balasore,756033,179,412
01-03-2025,Odisha,Nuapada,766106,160,440
01-03-2025,Odisha,Cuttack,754130,120,176
01-03-2025,Odisha,Balangir,767020,142,328
01-03-2025,Odisha,Puri,752113,40,60
01-03-2025,Odisha,Nuapada,766118,164,538
01-03-2025,Odisha,Sundargarh,770014,24,66
01-03-2025,Odisha,Ganjam,761100,63,83
01-03-2025,Odisha,Balasore,756126,11,41
01-03-2025,Odisha,Ganjam,761143,57,107
01-03-2025,Odisha,Kandhamal,762028,107,267
01-03-2025,Odisha,Cuttack,754295,19,57
01-03-2025,Odisha,Keonjhar,758013,195,342
01-03-2025,Odisha,Subarnapur,767023,204,376
01-03-2025,Odisha,Keonjhar,758040,24,25
01-03-2025,Odisha,Mayurbhanj,757073,151,109
01-03-2025,Odisha,Puri,752118,39,75
01-03-2025,Odisha,Sundargarh,770024,37,63
01-03-2025,Odisha,Jharsuguda,768201,165,155
01-03-2025,Odisha,Cuttack,753001,207,477
01-03-2025,Odisha,Jajpur,755022,44,49
01-03-2025,Odisha,Angul,759126,215,470
01-03-2025,Odisha,Sundargarh,769006,13,18
01-03-2025,Odisha,Cuttack,753002,14,78
01-03-2025,Odisha,Balasore,756080,62,140
01-03-2025,Odisha,Sundargarh,770023,45,62
01-03-2025,Odisha,Rayagada,765034,40,57
01-03-2025,Odisha,Khordha,751025,29,79
01-03-2025,Odisha,Jharsuguda,768211,75,145
01-03-2025,Odisha,Sundargarh,770036,142,519
01-03-2025,Odisha,Puri,752110,118,196
01-03-2025,Odisha,Khordha,751013,112,98
01-03-2025,Odisha,Mayurbhanj,757047,155,192
01-03-2025,Odisha,Ganjam,761010,138,213
01-03-2025,Odisha,Ganjam,761020,31,138
01-03-2025,Odisha,Sundargarh,770017,325,428
01-03-2025,Odisha,Balasore,756002,18,111
01-03-2025,Odisha,Mayurbhanj,757003,67,132
01-03-2025,Odisha,Khordha,751003,22,161
01-03-2025,Odisha,Balasore,756036,11,43
01-03-2025,Odisha,Ganjam,761018,165,284
01-03-2025,Odisha,Kandhamal,762011,281,244
01-03-2025,Odisha,Ganjam,761103,101,145
01-03-2025,Odisha,Bhadrak,756125,475,621
01-03-2025,Odisha,Nabarangpur,764061,313,377
01-03-2025,Odisha,Sambalpur,768214,11,26
01-03-2025,Odisha,Ganjam,761146,74,91
01-03-2025,Odisha,Khordha,752034,107,220
01-03-2025,Odisha,Subarnapur,767018,19,209
01-03-2025,Odisha,Subarnapur,767068,33,87
01-03-2025,Odisha,Mayurbhanj,757048,214,408
01-03-2025,Odisha,Sambalpur,768017,116,110
01-03-2025,Odisha,Sundargarh,770072,28,45
01-03-2025,Odisha,Bargarh,768052,46,163
01-03-2025,Odisha,Subarnapur,767019,219,361
01-03-2025,Odisha,Ganjam,761108,134,307
01-03-2025,Odisha,Balasore,756083,15,73
01-03-2025,Odisha,Balangir,767001,278,253
01-03-2025,Odisha,Jajpur,755028,53,130
01-03-2025,Odisha,Jajpur,755018,77,137
01-03-2025,Odisha,Dhenkanal,759015,191,312
01-03-2025,Odisha,Bargarh,768037,162,329
01-03-2025,Odisha,Nayagarh,752026,138,339
01-03-2025,Odisha,Angul,759127,231,460
01-03-2025,Odisha,Mayurbhanj,757030,113,257
01-03-2025,Odisha,Gajapati,761215,77,153
01-03-2025,Odisha,Jajpur,755018,187,354
01-03-2025,Odisha,Kalahandi,766110,109,304
01-03-2025,Odisha,Balangir,767027,113,250
01-03-2025,Odisha,Jajpur,755010,18,42
01-03-2025,Odisha,Balasore,756032,38,127
01-03-2025,Odisha,Kalahandi,766101,118,333
01-03-2025,Odisha,Deogarh,768119,89,156
01-03-2025,Odisha,Puri,752119,58,102
01-03-2025,Odisha,Bhadrak,756121,72,138
01-03-2025,Odisha,Jagatsinghpur,754139,70,124
01-03-2025,Odisha,Balasore,756134,13,49
01-03-2025,Odisha,Sundargarh,769003,85,120
01-03-2025,Odisha,Rayagada,765015,354,673
01-03-2025,Odisha,Dhenkanal,759028,333,530
01-03-2025,Odisha,Bhadrak,756100,33,136
01-03-2025,Odisha,Balasore,756028,56,72
01-03-2025,Odisha,Sundargarh,770037,282,775
01-03-2025,Odisha,Malkangiri,764051,857,323
01-03-2025,Odisha,Ganjam,761107,239,421
01-03-2025,Odisha,Kandhamal,762010,92,195
01-03-2025,Odisha,Mayurbhanj,757021,66,156
01-03-2025,Odisha,Bhadrak,756124,87,136
01-03-2025,Odisha,Khordha,752035,123,131
01-03-2025,Odisha,Bhadrak,756120,90,213
01-03-2025,Odisha,Subarnapur,767017,101,92
01-03-2025,Odisha,Jharsuguda,768225,32,38
01-03-2025,Odisha,Ganjam,761002,67,72
01-03-2025,Odisha,Sundargarh,769013,11,63
01-03-2025,Odisha,Jagatsinghpur,754160,34,86
01-03-2025,Odisha,Jharsuguda,768216,186,214
01-03-2025,Odisha,Rayagada,765024,69,94
01-03-2025,Odisha,Puri,752014,15,105
01-03-2025,Odisha,Ganjam,761118,244,366
01-03-2025,Odisha,Kandhamal,762106,82,270
01-03-2025,Odisha,Keonjhar,758041,169,249
01-03-2025,Odisha,Jagatsinghpur,754133,35,80
01-03-2025,Odisha,Jagatsinghpur,754108,75,239
01-03-2025,Odisha,Balasore,756041,18,94
01-03-2025,Odisha,Sundargarh,770002,15,87
01-03-2025,Odisha,Khordha,752034,10,67
01-03-2025,Odisha,Koraput,764081,87,135
01-03-2025,Odisha,Nayagarh,752085,127,210
01-03-2025,Odisha,Kendrapara,754134,95,165
01-03-2025,Odisha,Jajpur,755011,67,167
01-03-2025,Odisha,Khordha,751024,155,250
01-03-2025,Odisha,Sundargarh,769009,24,42
01-03-2025,Odisha,Khordha,751012,90,120
01-03-2025,Odisha,Jajpur,755027,62,125
01-03-2025,Odisha,Nuapada,766107,227,544
01-03-2025,Odisha,Sambalpur,768200,160,222
01-03-2025,Odisha,Sundargarh,770039,13,51
01-03-2025,Odisha,Bhadrak,756165,37,60
01-03-2025,Odisha,Balangir,767035,146,370
01-03-2025,Odisha,Jajpur,755019,184,329
01-03-2025,Odisha,Khordha,752031,18,79
01-03-2025,Odisha,Bargarh,768050,93,261
01-03-2025,Odisha,Malkangiri,764087,93,140
01-03-2025,Odisha,Jharsuguda,768217,97,193
01-03-2025,Odisha,Keonjhar,758044,92,244
01-03-2025,Odisha,Cuttack,754100,103,172
01-03-2025,Odisha,Balasore,756019,18,49
01-03-2025,Odisha,Jagatsinghpur,754162,24,17
01-03-2025,Odisha,Ganjam,761002,16,61
01-03-2025,Odisha,Angul,759130,89,115
01-03-2025,Odisha,Rayagada,765017,332,606
01-03-2025,Odisha,Jajpur,755026,76,156
01-03-2025,Odisha,Ganjam,761101,100,163
01-03-2025,Odisha,Kandhamal,762002,185,308
01-03-2025,Odisha,Dhenkanal,759146,60,111
01-03-2025,Odisha,Jajpur,754214,24,34
